?x	?p	?y
<https://w3id.org/pmd/co/PMD_0020022>	<https://w3id.org/pmd/co/PMD_0025013>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid593
<https://w3id.org/pmd/co/PMD_0050115>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_30163>
<https://w3id.org/pmd/co/PMD_0050141>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000877>
<http://purl.obolibrary.org/obo/OBI_0000571>	<http://purl.obolibrary.org/obo/RO_0000052>	<http://purl.obolibrary.org/obo/BFO_0000040>
<https://w3id.org/pmd/co/PMD_0000068>	<https://w3id.org/pmd/co/PMD_0000070>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid243
<https://w3id.org/pmd/co/PMD_0090018>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0090016>
<https://w3id.org/pmd/co/PMD_0050068>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020050>
<https://w3id.org/pmd/co/PMD_0000626>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000595>
<http://purl.obolibrary.org/obo/IAO_0000033>	<http://purl.obolibrary.org/obo/IAO_0000136>	<http://purl.obolibrary.org/obo/BFO_0000017>
<https://w3id.org/pmd/co/PMD_0090000>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0090001>
<https://w3id.org/pmd/co/PMD_0020249>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1067
<https://w3id.org/pmd/co/PMD_0050070>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020048>
<https://w3id.org/pmd/co/PMD_0000639>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020026>
<https://w3id.org/pmd/co/PMD_0000945>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0025001>
<https://w3id.org/pmd/co/PMD_0001017>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000551>
<https://w3id.org/pmd/co/PMD_0050114>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_37376>
<https://w3id.org/pmd/co/PMD_0010018>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020092>
<https://w3id.org/pmd/co/PMD_0000552>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000551>
<https://w3id.org/pmd/co/PMD_0000100>	<http://purl.obolibrary.org/obo/IAO_0000219>	<https://w3id.org/pmd/co/PMD_0000010>
